,COMEX:黄金:非商业多头持仓:持仓数量,COMEX:黄金:非商业空头持仓:持仓数量
1986-01-15,18589.0,7706.0
1986-01-31,15364.0,9303.0
1986-02-14,5457.0,12229.0
1986-02-28,7991.0,12222.0
1986-03-14,12637.0,11015.0
1986-03-31,9817.0,11406.0
1986-04-15,6805.0,20416.0
1986-04-30,8159.0,10519.0
1986-05-15,4649.0,10375.0
1986-05-30,4982.0,13683.0
1986-06-13,11657.0,10839.0
1986-06-30,5361.0,13631.0
1986-07-15,6735.0,11983.0
1986-07-31,18617.0,9540.0
1986-08-15,23234.0,10589.0
1986-08-29,23229.0,10291.0
1986-09-15,24807.0,10423.0
1986-09-30,22421.0,7840.0
1986-10-15,21274.0,10239.0
1986-10-31,12673.0,9373.0
1986-11-14,15816.0,11905.0
1986-11-28,10148.0,8849.0
1986-12-15,13089.0,11027.0
1986-12-31,9405.0,8347.0
1987-01-15,14063.0,8147.0
1987-01-30,13453.0,9022.0
1987-02-13,7705.0,14024.0
1987-02-27,7349.0,12273.0
1987-03-13,10654.0,10265.0
1987-03-31,18464.0,10076.0
1987-04-15,27260.0,9006.0
1987-04-30,24684.0,12933.0
1987-05-15,32997.0,6294.0
1987-05-29,24267.0,8705.0
1987-06-15,20380.0,11899.0
1987-06-30,15476.0,11621.0
1987-07-15,16101.0,7483.0
1987-07-31,23945.0,6857.0
1987-08-14,18612.0,10402.0
1987-08-31,16503.0,15979.0
1987-09-15,16196.0,12249.0
1987-09-30,17083.0,9981.0
1987-10-15,19848.0,7101.0
1987-10-30,15243.0,9416.0
1987-11-13,10867.0,9427.0
1987-11-30,24270.0,8453.0
1987-12-15,20912.0,9291.0
1987-12-31,14523.0,9354.0
1988-01-15,13275.0,9794.0
1988-01-29,9803.0,19037.0
1988-02-12,3759.0,26630.0
1988-02-29,4067.0,29807.0
1988-03-15,6054.0,23501.0
1988-03-31,5401.0,24023.0
1988-04-15,5491.0,24441.0
1988-04-29,2580.0,19679.0
1988-05-13,4835.0,13402.0
1988-05-31,8320.0,11067.0
1988-06-15,7185.0,10455.0
1988-06-30,4658.0,23026.0
1988-07-15,8779.0,22871.0
1988-07-29,3850.0,18769.0
1988-08-15,4761.0,18548.0
1988-08-31,4905.0,18415.0
1988-09-15,3567.0,27502.0
1988-09-30,4427.0,33064.0
1988-10-14,4517.0,33787.0
1988-10-31,4381.0,31358.0
1988-11-15,8125.0,15896.0
1988-11-30,5517.0,17263.0
1988-12-15,5445.0,17648.0
1988-12-30,6837.0,21800.0
1989-01-13,5233.0,29394.0
1989-01-31,5009.0,37911.0
1989-02-15,5828.0,32830.0
1989-02-28,4394.0,32432.0
1989-03-15,6347.0,25675.0
1989-03-31,3422.0,33947.0
1989-04-14,6079.0,29001.0
1989-04-28,2448.0,32920.0
1989-05-15,6010.0,30245.0
1989-05-31,3414.0,28885.0
1989-06-15,5891.0,24023.0
1989-06-30,8381.0,21462.0
1989-07-14,7662.0,19453.0
1989-07-31,3696.0,18587.0
1989-08-15,6197.0,20394.0
1989-08-31,3477.0,28851.0
1989-09-15,10113.0,23924.0
1989-09-29,5134.0,16802.0
1989-10-13,3906.0,20467.0
1989-10-31,15567.0,12768.0
1989-11-15,22440.0,9204.0
1989-11-30,28985.0,11049.0
1989-12-15,30438.0,8513.0
1989-12-29,22982.0,8581.0
1990-01-15,21782.0,5238.0
1990-01-31,13694.0,7321.0
1990-02-15,20315.0,5565.0
1990-02-28,11965.0,8989.0
1990-03-15,13967.0,18303.0
1990-03-30,9414.0,21463.0
1990-04-12,7110.0,21181.0
1990-04-30,6364.0,20632.0
1990-05-15,5297.0,19403.0
1990-05-31,5233.0,18710.0
1990-06-15,4110.0,26452.0
1990-06-29,4316.0,20190.0
1990-07-13,5878.0,15214.0
1990-07-31,8016.0,5875.0
1990-08-15,23830.0,7522.0
1990-08-31,20892.0,10597.0
1990-09-14,13775.0,7718.0
1990-09-28,24684.0,3187.0
1990-10-15,17794.0,9063.0
1990-10-31,10974.0,9392.0
1990-11-15,5893.0,8204.0
1990-11-30,7264.0,6135.0
1990-12-14,4781.0,10532.0
1990-12-31,9228.0,4426.0
1991-01-15,17648.0,6122.0
1991-01-31,2044.0,14302.0
1991-02-15,2515.0,16880.0
1991-02-28,1612.0,16447.0
1991-03-15,3111.0,14868.0
1991-03-28,1724.0,21208.0
1991-04-15,4002.0,18163.0
1991-04-30,4300.0,25710.0
1991-05-15,6949.0,17450.0
1991-05-31,8125.0,17440.0
1991-06-14,19823.0,11956.0
1991-06-28,18540.0,9247.0
1991-07-15,19663.0,9095.0
1991-07-31,12649.0,15454.0
1991-08-15,12421.0,27321.0
1991-08-30,7227.0,31854.0
1991-09-16,7736.0,29869.0
1991-09-30,9403.0,20755.0
1991-10-15,11464.0,9834.0
1991-10-31,13595.0,10032.0
1991-11-15,10191.0,13131.0
1991-11-29,32242.0,4002.0
1991-12-13,16792.0,6313.0
1991-12-31,9018.0,13620.0
1992-01-15,11190.0,15685.0
1992-01-31,13351.0,12438.0
1992-02-14,13917.0,13429.0
1992-02-28,12912.0,19139.0
1992-03-13,11724.0,26279.0
1992-03-31,10876.0,23488.0
1992-04-15,4260.0,29372.0
1992-04-30,9025.0,27004.0
1992-05-15,10494.0,18809.0
1992-05-29,6295.0,22164.0
1992-06-15,16252.0,9864.0
1992-06-30,13062.0,9401.0
1992-07-15,29782.0,5632.0
1992-07-31,32345.0,6932.0
1992-08-14,6668.0,19887.0
1992-08-31,6194.0,19845.0
1992-09-15,5167.0,13592.0
1992-09-30,6206.0,8706.0
1992-10-06,6573.0,8550.0
1992-10-13,5552.0,10250.0
1992-10-20,3774.0,12210.0
1992-10-27,3248.0,18553.0
1992-11-03,3350.0,20778.0
1992-11-10,5307.0,27347.0
1992-11-17,4157.0,25377.0
1992-11-24,3396.0,23825.0
1992-12-01,2612.0,24775.0
1992-12-08,3555.0,22253.0
1992-12-15,3231.0,22110.0
1992-12-22,6638.0,21541.0
1992-12-29,5600.0,24445.0
1993-01-05,5051.0,26772.0
1993-01-12,3937.0,31804.0
1993-01-19,3271.0,31316.0
1993-01-26,3778.0,25046.0
1993-02-02,4374.0,22924.0
1993-02-09,4978.0,23564.0
1993-02-16,6559.0,17211.0
1993-02-23,6419.0,15221.0
1993-03-02,5831.0,19213.0
1993-03-09,5010.0,29273.0
1993-03-16,10013.0,25153.0
1993-03-23,16471.0,14010.0
1993-03-30,32032.0,9314.0
1993-04-06,44080.0,3972.0
1993-04-13,44184.0,3174.0
1993-04-20,43522.0,7029.0
1993-04-27,57655.0,7490.0
1993-05-04,65914.0,9316.0
1993-05-11,65778.0,11210.0
1993-05-18,73031.0,5758.0
1993-05-25,61808.0,8643.0
1993-06-01,61163.0,10146.0
1993-06-08,56205.0,9226.0
1993-06-15,49164.0,10595.0
1993-06-22,54439.0,11130.0
1993-06-29,60965.0,12036.0
1993-07-06,73775.0,17138.0
1993-07-13,76537.0,13336.0
1993-07-20,74337.0,9855.0
1993-07-27,69330.0,10481.0
1993-08-03,82076.0,12479.0
1993-08-10,55725.0,13359.0
1993-08-17,41868.0,12872.0
1993-08-24,44404.0,11738.0
1993-08-31,48894.0,12805.0
1993-09-07,45493.0,18741.0
1993-09-14,38360.0,17840.0
1993-09-21,32735.0,16165.0
1993-09-28,31272.0,15137.0
1993-10-05,29815.0,16588.0
1993-10-12,36607.0,10716.0
1993-10-19,37249.0,9111.0
1993-10-26,41405.0,10361.0
1993-11-02,37080.0,11946.0
1993-11-09,44920.0,13504.0
1993-11-16,41735.0,6983.0
1993-11-23,42924.0,7011.0
1993-11-30,35713.0,11162.0
1993-12-07,40747.0,8594.0
1993-12-14,52864.0,7980.0
1993-12-21,53916.0,8322.0
1993-12-28,54009.0,8224.0
1994-01-04,59294.0,9532.0
1994-01-11,50144.0,8811.0
1994-01-18,51621.0,6893.0
1994-01-25,38287.0,9784.0
1994-02-01,35258.0,14480.0
1994-02-08,34704.0,14233.0
1994-02-15,34398.0,13788.0
1994-02-22,30012.0,17832.0
1994-03-01,33205.0,25729.0
1994-03-08,28210.0,27146.0
1994-03-15,35954.0,15216.0
1994-03-22,37614.0,15374.0
1994-03-29,39949.0,16234.0
1994-04-05,35281.0,17876.0
1994-04-12,30231.0,27193.0
1994-04-19,25666.0,42487.0
1994-04-26,21360.0,48075.0
1994-05-03,23855.0,49230.0
1994-05-10,25958.0,34299.0
1994-05-17,30099.0,32281.0
1994-05-24,37509.0,29218.0
1994-05-31,45219.0,23705.0
1994-06-07,31353.0,25920.0
1994-06-14,33843.0,23618.0
1994-06-21,55391.0,21845.0
1994-06-28,39328.0,23394.0
1994-07-05,36631.0,23603.0
1994-07-12,32962.0,23307.0
1994-07-19,33006.0,22995.0
1994-07-26,34041.0,22650.0
1994-08-02,33034.0,37935.0
1994-08-09,32524.0,46074.0
1994-08-16,27649.0,45377.0
1994-08-23,30405.0,38306.0
1994-08-30,38628.0,23584.0
1994-09-06,40107.0,21267.0
1994-09-13,42907.0,11099.0
1994-09-20,58124.0,11079.0
1994-09-27,66886.0,8688.0
1994-10-04,66676.0,9236.0
1994-10-11,38255.0,10971.0
1994-10-18,32979.0,15993.0
1994-10-25,35388.0,13717.0
1994-11-01,30039.0,37703.0
1994-11-08,30702.0,41118.0
1994-11-15,26522.0,41122.0
1994-11-22,23152.0,37251.0
1994-11-29,19279.0,39679.0
1994-12-06,14632.0,59710.0
1994-12-13,14093.0,60972.0
1994-12-20,14095.0,54202.0
1994-12-27,13482.0,53710.0
1995-01-03,13004.0,47070.0
1995-01-10,14517.0,64096.0
1995-01-17,15750.0,53584.0
1995-01-24,16319.0,38237.0
1995-01-31,14708.0,45288.0
1995-02-07,15943.0,47046.0
1995-02-14,15637.0,44891.0
1995-02-21,15597.0,39363.0
1995-02-28,14603.0,43836.0
1995-03-07,15813.0,25347.0
1995-03-14,19918.0,12967.0
1995-03-21,15352.0,11719.0
1995-03-28,12659.0,11818.0
1995-04-04,39871.0,6180.0
1995-04-11,43265.0,6820.0
1995-04-18,44945.0,6259.0
1995-04-25,42702.0,6829.0
1995-05-02,25653.0,6962.0
1995-05-09,12615.0,13750.0
1995-05-16,13179.0,19220.0
1995-05-23,11361.0,21878.0
1995-05-30,11716.0,17770.0
1995-06-06,13907.0,18187.0
1995-06-13,17242.0,12814.0
1995-06-20,33046.0,6879.0
1995-06-27,29025.0,7584.0
1995-07-03,18389.0,21962.0
1995-07-11,14673.0,26780.0
1995-07-18,20360.0,12480.0
1995-07-25,16627.0,14624.0
1995-08-01,13084.0,40233.0
1995-08-08,15272.0,46262.0
1995-08-15,14838.0,32053.0
1995-08-22,12195.0,45313.0
1995-08-29,11333.0,47660.0
1995-09-05,12639.0,53989.0
1995-09-12,15444.0,44478.0
1995-09-19,16915.0,38672.0
1995-09-26,14513.0,41360.0
1995-10-03,13167.0,44756.0
1995-10-10,15392.0,40580.0
1995-10-17,13493.0,41915.0
1995-10-24,13266.0,54685.0
1995-10-31,14314.0,52943.0
1995-11-07,15493.0,41697.0
1995-11-14,23423.0,15186.0
1995-11-21,17247.0,14347.0
1995-11-28,14863.0,17285.0
1995-12-05,15236.0,15528.0
1995-12-12,24462.0,13377.0
1995-12-19,16148.0,13121.0
1995-12-26,15493.0,13233.0
1996-01-02,22223.0,11829.0
1996-01-09,56064.0,6413.0
1996-01-16,64825.0,6689.0
1996-01-23,72631.0,3289.0
1996-01-30,73978.0,6284.0
1996-02-06,72958.0,9113.0
1996-02-13,55477.0,6884.0
1996-02-20,49123.0,8013.0
1996-02-27,44106.0,5830.0
1996-03-05,32146.0,9856.0
1996-03-12,34232.0,9423.0
1996-03-19,29171.0,12107.0
1996-03-26,39469.0,7768.0
1996-04-02,36397.0,11592.0
1996-04-09,42220.0,12257.0
1996-04-16,24271.0,17681.0
1996-04-23,24144.0,23597.0
1996-04-30,24448.0,25486.0
1996-05-07,25875.0,21051.0
1996-05-14,23187.0,28223.0
1996-05-21,23277.0,34180.0
1996-05-28,23843.0,31809.0
1996-06-04,25230.0,37997.0
1996-06-11,16825.0,53384.0
1996-06-18,18772.0,50728.0
1996-06-25,18980.0,49010.0
1996-07-02,13499.0,52310.0
1996-07-09,13856.0,49630.0
1996-07-16,10183.0,42189.0
1996-07-23,10760.0,38907.0
1996-07-30,11780.0,35384.0
1996-08-06,14155.0,17964.0
1996-08-13,13969.0,17399.0
1996-08-20,12948.0,19352.0
1996-08-27,14313.0,16841.0
1996-09-03,10839.0,27442.0
1996-09-10,10988.0,58020.0
1996-09-17,11628.0,63874.0
1996-09-24,9958.0,65772.0
1996-10-01,10856.0,69120.0
1996-10-08,12001.0,66246.0
1996-10-15,14657.0,65430.0
1996-10-22,12240.0,48255.0
1996-10-29,10169.0,54543.0
1996-11-05,10481.0,64187.0
1996-11-12,13614.0,53794.0
1996-11-19,10143.0,50202.0
1996-11-26,10662.0,65255.0
1996-12-03,11865.0,65840.0
1996-12-10,13689.0,51181.0
1996-12-17,12219.0,49246.0
1996-12-24,11874.0,49415.0
1996-12-31,11848.0,53773.0
1997-01-07,11368.0,59524.0
1997-01-14,7643.0,60612.0
1997-01-21,7815.0,58085.0
1997-01-28,10226.0,49182.0
1997-02-04,7438.0,55221.0
1997-02-11,8403.0,55053.0
1997-02-18,14150.0,48011.0
1997-02-25,14009.0,35250.0
1997-03-04,21214.0,18641.0
1997-03-11,15219.0,16432.0
1997-03-18,12800.0,23671.0
1997-03-25,16865.0,23580.0
1997-04-01,10496.0,19958.0
1997-04-08,10019.0,18882.0
1997-04-15,8895.0,37248.0
1997-04-22,9131.0,46631.0
1997-04-29,8071.0,48003.0
1997-05-06,8661.0,48910.0
1997-05-13,14204.0,31887.0
1997-05-20,10213.0,40450.0
1997-05-27,10253.0,39801.0
1997-06-03,8479.0,39277.0
1997-06-10,7903.0,44095.0
1997-06-17,8277.0,45856.0
1997-06-24,9490.0,64083.0
1997-07-01,5230.0,72241.0
1997-07-08,6339.0,78779.0
1997-07-15,7397.0,81985.0
1997-07-22,10794.0,72280.0
1997-07-29,11544.0,68170.0
1997-08-05,6513.0,77419.0
1997-08-12,14018.0,63722.0
1997-08-19,7183.0,63592.0
1997-08-26,7589.0,59131.0
1997-09-02,6674.0,66468.0
1997-09-09,6595.0,66009.0
1997-09-16,4357.0,66787.0
1997-09-23,4678.0,67575.0
1997-09-30,22302.0,42134.0
1997-10-07,41536.0,38086.0
1997-10-14,30291.0,38030.0
1997-10-21,13909.0,43706.0
1997-10-28,7117.0,71623.0
1997-11-04,8017.0,71591.0
1997-11-11,8834.0,68744.0
1997-11-18,13705.0,64354.0
1997-11-25,9687.0,69449.0
1997-12-02,10682.0,71170.0
1997-12-09,10623.0,73243.0
1997-12-16,9866.0,68635.0
1997-12-23,10200.0,61984.0
1997-12-30,9580.0,60624.0
1998-01-06,9714.0,68298.0
1998-01-13,9852.0,68380.0
1998-01-20,10105.0,61779.0
1998-01-27,12390.0,36522.0
1998-02-03,14549.0,38547.0
1998-02-10,15393.0,36662.0
1998-02-17,14602.0,38649.0
1998-02-24,13023.0,46469.0
1998-03-03,15161.0,43053.0
1998-03-10,13496.0,48149.0
1998-03-17,7047.0,58345.0
1998-03-24,6820.0,48971.0
1998-03-31,14151.0,35778.0
1998-04-07,35912.0,30665.0
1998-04-14,39334.0,31138.0
1998-04-21,41712.0,29121.0
1998-04-28,41569.0,23684.0
1998-05-05,33098.0,27867.0
1998-05-12,12860.0,31575.0
1998-05-19,12490.0,29737.0
1998-05-26,11717.0,33923.0
1998-06-02,7556.0,60612.0
1998-06-09,7000.0,58174.0
1998-06-16,5082.0,65909.0
1998-06-23,5441.0,42956.0
1998-06-30,5022.0,40939.0
1998-07-07,8467.0,42482.0
1998-07-14,6518.0,44177.0
1998-07-21,6425.0,40077.0
1998-07-28,7801.0,47568.0
1998-08-04,8618.0,67413.0
1998-08-11,9059.0,68769.0
1998-08-18,12089.0,71699.0
1998-08-25,10539.0,72049.0
1998-09-01,6779.0,76568.0
1998-09-08,7890.0,59215.0
1998-09-15,10405.0,30520.0
1998-09-22,13273.0,32286.0
1998-09-29,18982.0,24893.0
1998-10-06,36588.0,12919.0
1998-10-13,32954.0,12822.0
1998-10-20,29034.0,13243.0
1998-10-27,21174.0,13968.0
1998-11-03,9917.0,27612.0
1998-11-10,11354.0,18465.0
1998-11-17,15147.0,11960.0
1998-11-24,17284.0,10369.0
1998-12-01,12857.0,16775.0
1998-12-08,12306.0,17456.0
1998-12-15,8951.0,23617.0
1998-12-22,8703.0,35495.0
1998-12-29,8174.0,42760.0
1999-01-05,9127.0,53151.0
1999-01-12,11435.0,53161.0
1999-01-19,9596.0,64878.0
1999-01-26,9861.0,70853.0
1999-02-02,13654.0,73572.0
1999-02-09,10261.0,71310.0
1999-02-16,8862.0,77268.0
1999-02-23,8938.0,79003.0
1999-03-02,17147.0,75294.0
1999-03-09,32899.0,35104.0
1999-03-16,11160.0,39610.0
1999-03-23,7997.0,62020.0
1999-03-30,6836.0,87076.0
1999-04-06,9350.0,97713.0
1999-04-13,11955.0,93046.0
1999-04-20,12075.0,85765.0
1999-04-27,14087.0,94179.0
1999-05-04,18454.0,68306.0
1999-05-11,12626.0,75976.0
1999-05-18,8173.0,88719.0
1999-05-25,7689.0,93127.0
1999-06-01,9625.0,88396.0
1999-06-08,9281.0,94516.0
1999-06-15,10132.0,95118.0
1999-06-22,9930.0,96789.0
1999-06-29,8971.0,92582.0
1999-07-06,8728.0,95291.0
1999-07-13,9914.0,88774.0
1999-07-20,10323.0,89538.0
1999-07-27,13624.0,81518.0
1999-08-03,17758.0,74198.0
1999-08-10,15272.0,70336.0
1999-08-17,21260.0,56502.0
1999-08-24,16211.0,75298.0
1999-08-31,17219.0,78710.0
1999-09-07,16931.0,79841.0
1999-09-14,18500.0,72632.0
1999-09-21,27235.0,65077.0
1999-09-28,47881.0,62196.0
1999-10-05,43094.0,64951.0
1999-10-12,35722.0,52723.0
1999-10-19,35601.0,52897.0
1999-10-26,33470.0,47085.0
1999-11-02,27786.0,43069.0
1999-11-09,23669.0,42788.0
1999-11-16,28090.0,25319.0
1999-11-23,33610.0,24256.0
1999-11-30,31811.0,25682.0
1999-12-07,24409.0,27381.0
1999-12-14,10261.0,30814.0
1999-12-21,11393.0,39362.0
1999-12-28,10876.0,39829.0
2000-01-04,12360.0,41068.0
2000-01-11,17699.0,41917.0
2000-01-18,19895.0,26998.0
2000-01-25,19469.0,25003.0
2000-02-01,19414.0,28247.0
2000-02-08,40614.0,31600.0
2000-02-15,42107.0,21410.0
2000-02-22,52079.0,21071.0
2000-02-29,41099.0,22312.0
2000-03-07,38403.0,19732.0
2000-03-14,34577.0,17282.0
