indicator,frequency,unit,id,period,product,sector,unitRatio,ratio,index
注册仓单量:豆一,日,手,S0049489,2005-01-07:2018-07-16,A,agriculture,1,1,0
库存期货:白银,日,公斤,S0174909,2012-07-02:2018-07-16,AG,basic,1,1,1
COMEX:银:库存,日,金衡盎司,S0114146,1992-09-01:2018-07-16,AG,basic,0.028,1,2
库存期货:铝,日,吨,S0049494,1999-10-28:2018-06-26,AL,basic,1,1,3
库存期货:黄金,日,千克,S0049497,2008-01-11:2018-07-16,AU,basic,1,1,4
COMEX:黄金:库存,日,金衡盎司,S0114145,1992-09-01:2018-07-16,AU,basic,0.028,1,5
库存期货:沥青:总计,日,吨,S0204821,2013-12-02:2018-06-26,BU,chemistry,1,1,6
注册仓单量:黄玉米,日,手,S0049491,2005-01-21:2018-07-16,C,agriculture,1,1,7
仓单数量:一号棉花,日,张,S0049502,2004-10-08:2018-07-16,CF,agriculture,0.2,1,8
工业库存:棉花,月,万吨,S5022147,2009-11:2018-06,CF,agriculture,10000,1,9
库存期货:阴极铜,日,吨,S0049493,1999-10-28:2018-06-26,CU,basic,1,1,10
仓单数量:玻璃,日,张,S0180504,2013-02-08:2018-07-16,FG,chemistry,1,1,11
兰格钢铁:钢材库存指数:板材:热轧,周,,S5706196,2010-05-14:2018-07-13,HC,black,1,1,12
库存:铁矿石:港口合计,周,万吨,S0110152,2005-06-02:2018-07-13,I,black,1,1,13
焦炭库存:国内独立焦化厂(100家):华北地区,周,万吨,S5133384,2016-07-16:2018-07-06,J,black,10000,1,14
焦炭库存:国内独立焦化厂(100家):西北地区,周,万吨,S5133385,2016-07-16:2018-07-06,J,black,10000,1,15
焦炭库存:国内独立焦化厂(100家):华东地区,周,万吨,S5133387,2016-07-16:2018-07-06,J,black,10000,1,16
焦炭库存:国内样本钢厂(110家):合计,周,万吨,S5133852,2017-04-15:2018-06-15,J,black,10000,1,17
焦炭库存:天津港,周,万吨,S5120058,2011-01-15:2018-06-15,J,black,10000,1,18
焦炭库存:日照港,周,万吨,S5116630,2011-04-02:2018-06-15,J,black,10000,1,19
焦炭库存:青岛港,周,万吨,S5136709,2014-07-19:2018-06-15,J,black,10000,1,20
焦炭库存:连云港,周,万吨,S5116629,2011-01-15:2018-06-15,J,black,10000,1,21
炼焦煤总库存:国内独立焦化厂(100家):合计,周,万吨,S5133418,2016-06-18:2018-06-15,JM,black,10000,1,22
炼焦煤库存:国内样本钢厂(110家),周,万吨,S5133868,2017-04-15:2018-06-15,JM,black,10000,1,23
国有重点煤矿库存:华北地区,月,万吨,S5103662,2004-12:2018-05,JM,black,10000,0.2,24
国有重点煤矿库存:东北地区,月,万吨,S5103667,2004-12:2018-05,JM,black,10000,0.2,25
国有重点煤矿库存:华东地区,月,万吨,S5103671,2004-12:2018-05,JM,black,10000,0.2,26
国有重点煤矿库存:中南地区,月,万吨,S5103676,2004-12:2018-05,JM,black,10000,0.2,27
国有重点煤矿库存:西南地区,月,万吨,S5103679,2004-12:2018-05,JM,black,10000,0.2,28
国有重点煤矿库存:西北地区,月,万吨,S5103684,2004-12:2018-05,JM,black,10000,0.2,29
国有重点煤矿库存:中煤集团,月,万吨,S5103689,2004-12:2018-05,JM,black,10000,0.2,30
国有重点煤矿库存:神华集团,月,万吨,S5103690,2004-12:2018-05,JM,black,10000,0.2,31
煤炭库存:曹妃甸港,日,万吨,S5118163,2011-04-07:2018-06-21,JM,black,10000,0.3,32
煤炭库存:秦皇岛港,日,万吨,S5103725,2002-01-23:2018-06-21,JM,black,10000,0.3,33
煤炭库存:广州港集团,日,吨,S5103728,2007-04-28:2018-06-21,JM,black,1,0.3,34
煤炭库存:京唐港:国投港区合计,日,吨,S5103734,2009-06-24:2018-06-21,JM,black,1,0.3,35
煤炭库存:天津港,周,万吨,S5118194,2012-02-23:2018-06-20,JM,black,10000,0.3,36
注册仓单量:聚乙烯(LLDPE):合计,日,手,S0164028,2007-09-28:2018-06-26,L,chemistry,1,1,37
注册仓单量:豆粕,日,手,S0049490,2005-01-07:2018-07-16,M,agriculture,1,1,38
库存:甲醇:华东港口,周,万吨,S5436526,2012-08-24:2018-07-12,MA,chemistry,1,1,39
库存:甲醇:华南港口,周,万吨,S5436527,2012-08-24:2018-07-12,MA,chemistry,1,1,40
库存期货:镍,日,吨,S0213018,2015-04-13:2018-06-26,NI,basic,1,1,41
仓单数量:菜籽油,日,张,S0049503,2007-06-22:2018-07-16,OI,agriculture,1,1,42
港口库存:棕榈油,日,万吨,S5006381,2010-07-09:2018-06-26,P,agriculture,10000,1,43
库存期货:铅,日,吨,S0167708,2011-03-25:2018-06-26,PB,basic,1,1,44
库存:PP:上游,日,吨,S5471277,2016-08-11:2018-07-26,PP,chemistry,1,1,45
社会库存:PP:华东,日,吨,S5471283,2016-08-11:2018-07-26,PP,chemistry,1,1,46
库存:PP:华东仓库,日,吨,S5471278,2016-08-11:2018-07-26,PP,chemistry,1,1,47
库存:PP:华东贸易商,日,吨,S5471279,2016-08-11:2018-07-26,PP,chemistry,1,1,48
库存:PP:华东下游,日,吨,S5471280,2016-08-11:2018-07-26,PP,chemistry,1,1,49
注册仓单量:聚丙烯,日,手,S0205112,2014-05-05:2018-06-26,PP,chemistry,5,1,50
主要建筑钢材生产企业库存:螺纹钢,周,万吨,S5713337,2015-02-21:2018-06-22,RB,black,10000,1,51
库存:螺纹钢(含上海全部仓库),周,万吨,S0181750,2010-05-15:2018-06-22,RB,black,10000,1,52
仓单数量:菜籽粕,日,张,S0180505,2013-04-12:2018-07-16,RM,agriculture,1,1,53
库存期货:天然橡胶:总计,日,吨,S0163835,2007-01-05:2018-06-26,RU,chemistry,1,1,54
库存:青岛保税区:橡胶:合计,日,万吨,S5016800,2010-01-31:2018-07-02,RU,chemistry,10000,1,55
库存期货:锡,日,吨,S0213019,2015-04-13:2018-06-26,SN,basic,1,1,56
仓单数量:白砂糖,日,张,S0049500,2006-01-27:2018-07-16,SR,agriculture,1,1,57
仓单数量:PTA,日,张,S0049499,2006-12-22:2018-06-26,TA,chemistry,1,1,58
注册仓单量:聚氯乙烯:合计,日,手,S0164094,2009-07-29:2018-07-16,V,chemistry,1,1,59
注册仓单量:豆油,日,手,S0049488,2006-05-12:2018-07-16,Y,agriculture,0.001,1,60
港口库存:豆油:全国,日,万吨,S5063139,2013-03-18:2018-06-26,Y,agriculture,1,1,61
商业库存:豆油,日,万吨,S5028184,2012-10-26:2018-05-08,Y,agriculture,1,1,62
煤炭库存:6大发电集团:合计,日,万吨,S5116621,2009-10-01:2018-06-21,ZC,black,10000,1,63
库存期货:锌,日,吨,S0049498,2007-04-06:2018-06-26,ZN,basic,1,1,64
